          Instance            Objective  TIME(SCIP)
              big1          34866253427        1.07
              big2             86896481        1.42
              big3              1430529        1.88
              big4             16810391        0.92
              big5             15817090        0.74
              big6             15864843        0.55
              big7             13970599        0.40
              big8            324317614        5.75
             cap10           8943052661        0.67
             cap11           8266120580        0.73
             cap12           7395227321        0.79
             cap13           4420038350        0.07
             cap14           1629457395        0.22
             cap15           1584290822        0.34
             cap16           8633906421        0.26
             cap17           5932642336        0.34
             cap18           5007537402        0.45
             cap19           4540995641        0.51
              cap1           2572055650        0.06
             cap20          17695401134        0.43
             cap21          14719763747        0.52
             cap22          11958078251        0.59
             cap23          10902274884        0.70
             cap24           9963499300        0.75
             cap25           8804707709        0.85
             cap26            136567684        0.06
             cap27             46336250        0.23
             cap28             53532992        0.34
             cap29            226830042        0.27
              cap2            868553404        0.21
             cap30            165550507        0.33
             cap31            143048646        0.44
             cap32            120792991        0.50
             cap33            439940275        0.42
             cap34            394583799        0.51
             cap35            303398830        0.60
             cap36            270603954        0.67
             cap37            262322468        0.75
             cap38            233365565        0.84
             cap39            389559713        1.35
              cap3            835752895        0.31
             cap40            329885420        1.13
             cap41            292983526        1.33
              cap4           6572052044        0.27
              cap5           4596714758        0.36
              cap7           3514982153        0.48
              cap8          13836268653        0.41
              cap9          12273727410        0.48
          stndrd10            148675665        0.05
          stndrd16           6815524469        0.01
          stndrd17           2646770386        0.01
          stndrd18           6663684919        0.01
          stndrd19           2618979806        0.02
           stndrd1            196587626        0.01
          stndrd20           6708097873        0.01
          stndrd21           2631027973        0.02
          stndrd22           6621515104        0.01
          stndrd23           2630071408        0.01
          stndrd24           6829799687        0.01
          stndrd25           6396423129        0.01
          stndrd26           5297702923        0.01
          stndrd27           4863992745        0.01
          stndrd28          11599233408        0.02
          stndrd29          11700773092        0.02
           stndrd2            194072029        0.01
          stndrd30           8782721260        0.03
          stndrd31           8577913734        0.03
          stndrd32          17996365110        0.04
          stndrd33          18424893900        0.04
          stndrd34          14596094907        0.05
          stndrd35          14350903861        0.04
          stndrd36          87957673940        0.19
          stndrd37          35607266430        0.24
          stndrd38           7265734372        0.29
          stndrd39          48660418428        0.15
           stndrd3            159442947        0.01
          stndrd40          11068572024        0.20
          stndrd41                19512        0.10
          stndrd42               136100        0.71
          stndrd43               523027        0.15
          stndrd44        -579667874396        0.23
          stndrd45       -1864582590629        0.19
          stndrd46             26402583        0.43
          stndrd47             26454068        0.43
          stndrd48             23814965        0.14
           stndrd4            138936551        0.01
          stndrd50              4024557        0.03
          stndrd51              4023472        0.03
          stndrd52                 1378        0.05
          stndrd53                 1146        0.07
          stndrd54               690477        0.11
           stndrd5            102950805        0.02
           stndrd6            191968577        0.02
           stndrd7            172742047        0.03
           stndrd8            164468452        0.03
           stndrd9            144994180        0.04
          transp10             94008769        0.17
          transp11            220335437        0.07
          transp12            126443694        0.17
          transp13            110331273        0.28
          transp14             85534936        0.41
           transp1            258178684        0.08
           transp2            147794030        0.17
           transp3             93015638        0.29
           transp4             75304321        0.41
           transp5            176263777        0.17
           transp6            124416104        0.29
           transp7             96121936        0.42
           transp8             92366438        0.59
           transp9            158058350        0.08
          chvatal1                   56        0.01
      gte_bad.1160         384186964357
    gte_bad.298300         247292230822
    gte_bad.451760         182873054612
